@RELATION test

@ATTRIBUTE max NUMERIC
@ATTRIBUTE min NUMERIC
@ATTRIBUTE range NUMERIC
@ATTRIBUTE distance NUMERIC
@ATTRIBUTE entropy NUMERIC
@ATTRIBUTE FFT_intensity NUMERIC
@ATTRIBUTE class {talking, chewing}

@DATA
26119, -15987, 42106, 4305, 7.33201462325, 97630.3203163, chewing
42314, -12851, 55165, 4364, 8.13828584115, 132447.373055, chewing
42314, -9186, 51500, 4826, 8.61454974343, 127890.505575, chewing
26871, -10146, 37017, 4312, 8.01362746429, 105765.180211, chewing
43578, -10146, 53724, 4264, 8.27860833458, 121899.507397, chewing
43578, -10595, 54173, 4668, 8.61166133467, 121950.933124, chewing
33880, -11043, 44923, 4356, 7.66288521976, 106534.007918, chewing
24021, -11043, 35064, 3996, 6.87549519844, 84940.1645299, chewing
23958, -8866, 32824, 4192, 6.74084588425, 88618.0170261, chewing
23958, -7602, 31560, 4132, 7.07489005623, 87011.0512615, chewing
59582, -7602, 67184, 4343, 8.36633475221, 136577.98149, chewing
59582, -59550, 119132, 4989, 8.57649103453, 160500.742472, chewing
25510, -59550, 85060, 4714, 8.11911869975, 113913.8317, chewing
45883, -7890, 53773, 4384, 8.60668653462, 125018.485146, chewing
45883, -7874, 53757, 4346, 8.51876473465, 125596.058983, chewing
27622, -47643, 75265, 4291, 7.98389876316, 106622.675528, chewing
47772, -47643, 95415, 4533, 8.53755285902, 139052.724144, chewing
